Model,Validation MAE,Validation RMSE,Validation RMSLE,Validation R2,Test MAE,Test RMSE,Test RMSLE,Test R2,RMSE Genelleme Farkı
Gradient Boosting,15721.082984839128,24848.784108539177,0.11447758417021815,0.9030004249910804,17104.95698517975,30408.62143127305,0.1266785807220217,0.8601427481005557,5559.837322733874
Elastic Net,17189.449069998944,25812.01703044997,0.12811350151478346,0.8953345291011189,17480.12492104183,26830.803214870906,0.12490612846709322,0.8911173017755978,1018.7861844209365
Ridge Regression,17139.183439601464,26007.074335989753,0.12803421414050725,0.8937466714722314,17521.689826005877,26861.021855118688,0.12490287243562889,0.8908719017455741,853.9475191289348
Random Forest,16954.033731897347,26400.08065136804,0.12678312714381004,0.8905111099732288,18948.840793578962,32343.29740890661,0.13534220204852004,0.8417804608928109,5943.216757538568
