model,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2,validation_mae_percent,validation_rmse_percent,test_mae,test_rmse,test_r2,test_mae_percent,test_rmse_percent,fit_and_predict_seconds
Gradient Boosting,3872.1542700128307,5156.123074894749,0.9955918665069028,15532.89706840529,24171.754097903802,0.908214119024677,8.630659864658824,13.430732659364677,17673.652120065082,31922.057503999917,0.8458749332450273,9.462147406602268,17.090480879272224,2.095563333015889
CatBoost,11449.019987029187,16730.02044470488,0.9535911153836434,15042.53351758752,24734.367718467365,0.9038916388203009,8.358195494458178,13.743341876623006,15989.398852004375,28530.78365433572,0.8768827439531008,8.560429267975508,15.274855402223963,0.6106632499722764
Ridge Regression,16997.58510602416,29729.536193735443,0.8534504614821103,17139.183439601464,26007.074335989753,0.8937466714722314,9.52317278443024,14.450505380955933,18494.261308974415,28802.466279237862,0.8745268271399852,9.901486432623782,15.420309269210412,0.07192095799837261
Random Forest,6585.1551807455735,11998.990696991063,0.9761275154664821,16894.771903200588,26331.91491201338,0.8910757867177375,9.387368572995316,14.630998981702339,19238.90619436694,32547.93977091367,0.8397719549521026,10.300155571480328,17.42556670242209,1.356816624989733
