experiment,method,features_added,validation_rmse,validation_rmse_improvement,validation_rmse_improvement_pct,validation_mae_improvement_pct,validation_rmsle_improvement_pct,test_rmse,test_rmse_improvement,test_rmse_improvement_pct,test_mae_improvement_pct,test_rmsle_improvement_pct,decision
combination,Birleştirme,"TotalSF, TotalBathrooms",26318.060079164774,-21.56852614611853,-0.0820205467434024,-0.005128592233084704,-0.014069397524051935,26496.574812661533,-2.2997626352807856,-0.008680224806824849,-0.04158377704787653,-0.032978946822659276,Olumlu sonuç vermedi
decomposition,Ayrıştırma,"BuildDecade, BuildYearInDecade, RemodelDecade, RemodelYearInDecade",26350.434198951363,-53.94264593270782,-0.20513248249847071,0.12536290065494918,-0.2609377316868911,26609.991447113858,-115.71639708760631,-0.43676000520531943,-0.23776161019135814,-0.19793487661234058,Olumlu sonuç vermedi
domain,Domain-based,"HouseAge2010, RemodelAge2010, GarageAge2010, LivingAreaPerRoom, GarageAreaPerCar, FinishedBasementRatio",26755.608654265972,-459.1171012473169,-1.7459253084072102,3.210896129237211,5.461245361870097,26777.06446794126,-282.78941791500984,-1.0673604670482564,6.197284372066185,6.159773527074825,Olumlu sonuç vermedi
binning,Binning / Gruplama,"Qual_Low/Mid/High, Built_Pre1946/1946_1970/1971_1999/2000Plus",26206.25835000916,90.2332030094949,0.3431378015868309,-0.976887128722643,-0.8958751519144816,27161.43447346041,-667.1594234341574,-2.518126735585076,-3.567257913478964,-2.1575903713838986,Olumlu sonuç vermedi
indicator,Binary / Indicator,"HasGarage, HasBasement, HasFireplace, HasSecondFloor, HasOpenPorch, WasRemodeled",26904.876309582014,-608.3847565633587,-2.3135586560539494,-1.4606256023353972,-1.0993651537256515,27247.550538351963,-753.2754883257112,-2.8431632377311065,-2.7111096090229716,-1.4687931463504282,Olumlu sonuç vermedi
interaction,Etkileşim,"Qual_x_GrLivArea, Qual_x_TotalBsmtSF, Qual_x_GarageCars",28536.474256753118,-2239.982703734462,-8.518180834953732,-0.8580936072752272,2.9288342621843486,27477.96320921506,-983.6881591888086,-3.7128328943947984,-0.4215316789440345,1.3272061116823917,Olumlu sonuç vermedi
transformation,Dönüştürme,"LogLotArea, LogGrLivArea, LogLotFrontage, LogOpenPorchSF, LogTotalBsmtSF, Log1stFlrSF, Log2ndFlrSF, LogGarageArea",27932.23720872662,-1635.745655707964,-6.220395037908362,8.595552584173973,8.562391208884582,28432.081863089934,-1937.806813063682,-7.314058638723772,1.7739907426488424,2.2880453886575784,Olumlu sonuç vermedi
